project,tweeter_followers
larvalabs,57275
artblocks_io,50252
BoredApeYC,82677
0n1Force,35560
MyCurioCards,6137
ParallelNFT,33722
Pudgy_Penguins,22978
coolcatsnft,23120
KoalaAgencyNFT,12439
punkscomic,18111
satoshibles,2962
GoonsNft,5956
Aworld_NFT,1189
