project,tweeter_followers
larvalabs,56894
artblocks_io,49931
BoredApeYC,80840
0n1Force,35288
MyCurioCards,6109
ParallelNFT,33635
Pudgy_Penguins,22799
coolcatsnft,22826
KoalaAgencyNFT,12202
punkscomic,18046
satoshibles,2938
GoonsNft,5928
Aworld_NFT,1182
