project,tweeter_followers
larvalabs,58803
artblocks_io,52075
BoredApeYC,98347
0n1Force,36909
MyCurioCards,6242
ParallelNFT,34236
Pudgy_Penguins,23688
coolcatsnft,23895
KoalaAgencyNFT,13845
punkscomic,18462
satoshibles,3030
GoonsNft,6354
Aworld_NFT,1240
