project,tweeter_followers
larvalabs,58041
artblocks_io,50932
BoredApeYC,90720
0n1Force,36221
MyCurioCards,6184
ParallelNFT,33902
Pudgy_Penguins,23380
coolcatsnft,23564
KoalaAgencyNFT,13116
punkscomic,18284
satoshibles,2993
GoonsNft,6065
Aworld_NFT,1210
