project,tweeter_followers
larvalabs,62340
artblocks_io,56682
BoredApeYC,115967
0n1Force,40553
MyCurioCards,6590
ParallelNFT,35225
Pudgy_Penguins,25245
coolcatsnft,25678
KoalaAgencyNFT,19835
punkscomic,19646
satoshibles,3169
GoonsNft,7806
Aworld_NFT,1362
DropBearsio,4087
alcabonesNFT,19416
Atomicantznft,8849
PlayColony,8196
