project,tweeter_followers
larvalabs,60010
artblocks_io,54132
BoredApeYC,106993
0n1Force,38149
MyCurioCards,6363
ParallelNFT,34690
Pudgy_Penguins,24386
coolcatsnft,24407
KoalaAgencyNFT,14817
punkscomic,18909
satoshibles,3127
GoonsNft,7008
Aworld_NFT,1306
DropBearsio,3301
alcabonesNFT,18895
Atomicantznft,7976
