project,tweeter_followers
larvalabs,62360
artblocks_io,56710
BoredApeYC,116062
0n1Force,40576
MyCurioCards,6592
ParallelNFT,35235
Pudgy_Penguins,25251
coolcatsnft,25685
KoalaAgencyNFT,19849
punkscomic,19653
satoshibles,3170
GoonsNft,7822
Aworld_NFT,1362
DropBearsio,4095
alcabonesNFT,19423
Atomicantznft,8849
PlayColony,8217
