project,tweeter_followers
larvalabs,64002
artblocks_io,58226
BoredApeYC,121008
0n1Force,41896
MyCurioCards,6723
ParallelNFT,35542
Pudgy_Penguins,25795
coolcatsnft,26442
KoalaAgencyNFT,20785
punkscomic,20142
satoshibles,3230
GoonsNft,8624
Aworld_NFT,1361
DropBearsio,4489
alcabonesNFT,19786
Atomicantznft,8799
PlayColony,8815
