project,tweeter_followers
larvalabs,61189
artblocks_io,55594
BoredApeYC,111747
0n1Force,39531
MyCurioCards,6504
ParallelNFT,34994
Pudgy_Penguins,24857
coolcatsnft,25067
KoalaAgencyNFT,16831
punkscomic,19371
satoshibles,3145
GoonsNft,7398
Aworld_NFT,1353
DropBearsio,3721
alcabonesNFT,19199
Atomicantznft,8883
