project,tweeter_followers
larvalabs,58021
artblocks_io,50906
BoredApeYC,90585
0n1Force,36207
MyCurioCards,6183
ParallelNFT,33898
Pudgy_Penguins,23374
coolcatsnft,23554
KoalaAgencyNFT,13105
punkscomic,18280
satoshibles,2993
GoonsNft,6064
Aworld_NFT,1210
