project,tweeter_followers
larvalabs,60008
artblocks_io,54128
BoredApeYC,106978
0n1Force,38143
MyCurioCards,6363
ParallelNFT,34686
Pudgy_Penguins,24384
coolcatsnft,24406
KoalaAgencyNFT,14815
punkscomic,18908
satoshibles,3125
GoonsNft,7005
Aworld_NFT,1306
DropBearsio,3300
alcabonesNFT,18893
Atomicantznft,7974
